City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Praia,CV,2022-05-01 01:14:48,14.9215,-23.5087,70.34,78,20,16.11
1,Hisor,TJ,2022-05-01 01:14:49,38.525,68.5512,62.35,44,100,3.47
2,Ushuaia,AR,2022-05-01 01:14:49,-54.8,-68.3,40.66,65,20,13.8
3,Lagoa,PT,2022-05-01 01:14:50,39.05,-27.9833,60.66,88,0,7.05
4,Grootfontein,,2022-05-01 01:14:50,-19.5667,18.1167,65.61,45,91,5.68
5,Cape Town,ZA,2022-05-01 01:14:18,-33.9258,18.4232,60.91,82,5,5.99
6,Kasganj,IN,2022-05-01 01:14:51,27.8167,78.65,85.87,17,43,7.05
7,Saldanha,ZA,2022-05-01 01:14:52,-33.0117,17.9442,57.74,89,6,9.89
8,Port Elizabeth,ZA,2022-05-01 01:11:32,-33.918,25.5701,61.32,69,39,4.0
9,Xanxere,BR,2022-05-01 01:14:52,-26.8769,-52.4042,62.28,97,100,3.24
10,Busselton,AU,2022-05-01 01:14:53,-33.65,115.3333,61.45,70,0,4.23
11,Port Alfred,ZA,2022-05-01 01:14:54,-33.5906,26.891,54.18,82,33,1.99
12,Vila Velha,BR,2022-05-01 01:10:19,-20.3297,-40.2925,75.15,90,75,4.61
13,Kruisfontein,ZA,2022-05-01 01:14:54,-34.0033,24.7314,52.97,77,100,6.89
14,Ponta Do Sol,PT,2022-05-01 01:14:55,32.6667,-17.1,66.83,64,0,3.51
15,Buenos Aires,AR,2022-05-01 01:13:28,-34.6132,-58.3772,56.93,62,0,2.3
16,Milverton,CA,2022-05-01 01:14:56,43.5668,-80.9164,49.12,55,100,11.9
17,Longyearbyen,SJ,2022-05-01 01:14:56,78.2186,15.6401,12.04,57,0,4.61
18,Dikson,RU,2022-05-01 01:14:57,73.5069,80.5464,17.62,94,100,15.61
19,East London,ZA,2022-05-01 01:12:34,-33.0153,27.9116,60.55,70,6,11.01
20,Marietta,US,2022-05-01 01:14:57,33.9526,-84.5499,74.89,70,75,9.22
21,Umm Kaddadah,SD,2022-05-01 01:14:58,13.6017,26.6876,80.91,11,79,5.95
22,Primorsk,UA,2022-05-01 01:14:59,46.7348,36.3443,50.99,61,83,13.82
23,Henties Bay,,2022-05-01 01:14:59,-22.116,14.2845,57.31,88,0,5.5
24,Porto Novo,BJ,2022-05-01 01:15:00,6.4965,2.6036,79.65,82,57,5.08
25,Touros,BR,2022-05-01 01:14:07,-5.1989,-35.4608,79.48,79,85,13.67
26,Torbay,CA,2022-05-01 01:15:00,47.6666,-52.7314,42.89,95,100,5.75
27,Aqtobe,KZ,2022-05-01 01:12:54,50.2797,57.2072,50.09,100,100,6.71
28,Port Blair,IN,2022-05-01 01:15:01,11.6667,92.75,83.88,69,95,3.31
29,Hermanus,ZA,2022-05-01 01:15:01,-34.4187,19.2345,57.61,84,9,6.15
30,Forestville,US,2022-05-01 01:15:02,38.8451,-76.875,59.38,51,0,3.44
31,Lethem,GY,2022-05-01 01:15:02,3.3803,-59.7968,80.56,63,51,4.79
32,Mazamari,PE,2022-05-01 01:15:03,-11.3258,-74.5308,68.92,96,56,1.36
33,Saint-Philippe,RE,2022-05-01 01:15:04,-21.3585,55.7679,74.79,78,47,7.47
34,Arraial Do Cabo,BR,2022-05-01 01:15:05,-22.9661,-42.0278,73.87,85,92,11.43
35,Valparaiso,CL,2022-05-01 01:12:12,-33.0393,-71.6273,58.64,70,0,4.61
36,Paamiut,GL,2022-05-01 01:15:05,61.994,-49.6678,33.58,95,100,11.63
37,Santo Antonio Do Monte,BR,2022-05-01 01:15:06,-20.0872,-45.2936,66.33,68,86,7.14
38,Altinopolis,BR,2022-05-01 01:15:07,-21.0256,-47.3739,69.15,83,70,4.09
39,Namibe,AO,2022-05-01 01:15:08,-15.1961,12.1522,75.2,83,89,4.36
40,Pisco,PE,2022-05-01 01:14:52,-13.7,-76.2167,65.01,82,0,16.11
41,Palera,IN,2022-05-01 01:15:08,25.0167,79.2333,88.16,21,0,6.58
42,Grindavik,IS,2022-05-01 01:15:09,63.8424,-22.4338,44.55,87,75,12.66
43,Jamestown,US,2022-05-01 01:11:32,42.097,-79.2353,55.04,32,0,10.36
44,Saint George,US,2022-05-01 01:11:53,37.1041,-113.5841,84.94,10,0,11.5
45,Santa Rosa,PH,2022-05-01 01:11:25,14.3122,121.1114,90.1,66,53,10.69
46,Chuy,UY,2022-05-01 01:16:10,-33.6971,-53.4616,56.28,73,100,5.95
47,Sovetskiy,RU,2022-05-01 01:16:10,61.3614,63.5842,31.17,65,14,8.1
48,Oranjemund,,2022-05-01 01:16:11,-28.55,16.4333,53.49,86,0,8.66
49,Belyy Yar,RU,2022-05-01 01:16:12,53.6039,91.3903,54.86,49,0,4.47
50,Qaanaaq,GL,2022-05-01 01:16:12,77.484,-69.3632,7.3,80,20,6.89
51,Port Hawkesbury,CA,2022-05-01 01:16:13,45.6169,-61.3485,37.44,97,100,12.66
