City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Baghdad,IQ,73.31,Dust,33.3406,44.4009,Baghdad Hotel
2,Khargone,IN,86.86,Clear,21.8167,75.6,SPOT ON 63187 Vallabha Hotel
3,Santo Tomas,PH,81.55,Clouds,14.1079,121.1414,Microtel by Wyndham Batangas
6,Saint-Philippe,RE,74.21,Clear,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
8,Hithadhoo,MV,85.32,Clouds,-0.6,73.0833,Scoop Guest House
12,East London,ZA,61.83,Clear,-33.0153,27.9116,Tu Casa
16,Hermanus,ZA,60.8,Clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
19,Bure,ET,71.33,Clouds,10.7,37.0667,Holiday
22,Saint George,US,80.26,Clear,37.1041,-113.5841,Best Western Plus Abbey Inn
23,Castro,BR,61.86,Clouds,-24.7911,-50.0119,CHACARA BAILLY
24,Yarmouth,US,61.27,Clear,41.7057,-70.2286,Blue Rock Resort
25,Matay,EG,76.77,Clear,28.419,30.7792,Nag Aespen
27,Ribeira Grande,PT,63.23,Clouds,38.5167,-28.7,Quinta da Meia Eira
29,Chimbote,PE,67.87,Clouds,-9.0853,-78.5783,Hotel Briliá
30,Padang,ID,75.25,Rain,-0.9492,100.3543,Mercure Padang
31,Sur,OM,82.72,Clear,22.5667,59.5289,Sur Plaza Hotel
38,Nicoya,CR,87.33,Clouds,10.1483,-85.452,Las Cabinas Del Sueño
39,Saa,CM,70.54,Rain,4.3667,11.45,Auberge Horizon 2010
40,Kathmandu,NP,66.42,Clouds,27.7167,85.3167,Hotel Shanker Kathmandu
41,Sao Raimundo Das Mangabeiras,BR,80.26,Clouds,-7.0219,-45.4811,Hotel Tropical
43,Bambous Virieux,MU,74.21,Clouds,-20.3428,57.7575,Casa Tia Villa
45,Touros,BR,80.46,Clouds,-5.1989,-35.4608,INN NEW HORIZON
46,Cidreira,BR,64.99,Clouds,-30.1811,-50.2056,Hotel Castelo
47,Ballina,AU,68.18,Clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
48,Sailana,IN,80.87,Clear,23.4667,74.9167,Krishna Marriage Garden Sailana
52,Fenoarivo,MG,64.47,Clouds,-18.933,47.4354,Skyfol Ambodiafontsy
54,Riyadh,SA,82.54,Clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
55,Sal Rei,CV,70.63,Clear,16.1833,-22.9167,Marine Club Beach Resort
58,Victoria,HK,64.26,Rain,22.2855,114.1577,Mini Hotel Central
59,Turmalina,BR,69.17,Clouds,-17.2856,-42.73,Hotel Cristal
61,Kudahuvadhoo,MV,85.71,Clouds,2.6708,72.8944,Niyama Private Islands Maldives
62,Cape Town,ZA,60.12,Clear,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
