City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
0,Ushuaia,-54.8,-68.3,42.46,75,20,13.8,AR,Clouds
1,Baghdad,33.3406,44.4009,73.31,46,0,9.22,IQ,Dust
2,Khargone,21.8167,75.6,86.86,44,2,12.95,IN,Clear
3,Santo Tomas,14.1079,121.1414,81.55,90,100,3.58,PH,Clouds
4,Ilulissat,69.2167,-51.1,26.62,43,51,4.61,GL,Clouds
5,Nisporeni,47.0814,28.1783,52.39,73,10,1.3,MD,Rain
6,Saint-Philippe,-21.3585,55.7679,74.21,85,3,3.4,RE,Clear
7,Kumylzhenskaya,49.8809,42.5898,40.03,60,7,6.35,RU,Clear
8,Hithadhoo,-0.6,73.0833,85.32,73,100,16.33,MV,Clouds
9,Codrington,-38.2667,141.9667,59.94,79,100,9.82,AU,Clouds
10,Pangnirtung,66.1451,-65.7125,28.69,97,100,5.59,CA,Snow
11,Luderitz,-26.6481,15.1594,71.51,29,0,8.86,NA,Clear
12,East London,-33.0153,27.9116,61.83,78,0,8.01,ZA,Clear
13,Jamestown,42.097,-79.2353,58.59,93,100,8.01,US,Clouds
14,Paamiut,61.994,-49.6678,33.57,89,75,6.2,GL,Clouds
15,Port Elizabeth,-33.918,25.5701,57.31,91,0,4.61,ZA,Clear
16,Hermanus,-34.4187,19.2345,60.8,90,51,10.0,ZA,Clouds
17,Shelburne,44.0787,-80.2041,48.96,84,100,13.15,CA,Clouds
18,Saint Anthony,45.0205,-93.218,46.33,87,100,18.41,US,Clouds
19,Bure,10.7,37.0667,71.33,35,84,1.92,ET,Clouds
20,Saeby,57.3319,10.5225,42.96,75,94,7.49,DK,Clouds
21,Olafsvik,64.8945,-23.7142,34.57,63,17,19.64,IS,Clouds
22,Saint George,37.1041,-113.5841,80.26,14,0,18.41,US,Clear
23,Castro,-24.7911,-50.0119,61.86,91,44,2.44,BR,Clouds
24,Yarmouth,41.7057,-70.2286,61.27,62,0,9.22,US,Clear
25,Matay,28.419,30.7792,76.77,24,7,8.32,EG,Clear
26,Jutai,-5.1833,-68.9,77.68,94,51,1.74,BR,Clouds
27,Ribeira Grande,38.5167,-28.7,63.23,80,24,2.73,PT,Clouds
28,Longyearbyen,78.2186,15.6401,12.04,79,75,4.61,SJ,Snow
29,Chimbote,-9.0853,-78.5783,67.87,81,89,8.81,PE,Clouds
30,Padang,-0.9492,100.3543,75.25,87,100,3.6,ID,Rain
31,Sur,22.5667,59.5289,82.72,61,0,9.46,OM,Clear
32,Qaanaaq,77.484,-69.3632,10.13,74,19,4.63,GL,Clouds
33,Narsaq,60.9167,-46.05,46.62,76,57,3.27,GL,Clouds
34,Busselton,-33.65,115.3333,59.9,83,59,1.88,AU,Clouds
35,Necochea,-38.5473,-58.7368,52.32,57,99,8.52,AR,Clouds
36,Bahia Blanca,-38.7196,-62.2724,52.38,68,100,6.02,AR,Clouds
37,Umea,63.8284,20.2597,44.53,65,0,5.75,SE,Clear
38,Nicoya,10.1483,-85.452,87.33,59,100,3.24,CR,Clouds
39,Saa,4.3667,11.45,70.54,98,100,3.67,CM,Rain
40,Kathmandu,27.7167,85.3167,66.42,88,40,2.3,NP,Clouds
41,Sao Raimundo Das Mangabeiras,-7.0219,-45.4811,80.26,56,26,2.21,BR,Clouds
42,Mao,39.8885,4.2658,57.76,88,0,3.44,ES,Clear
43,Bambous Virieux,-20.3428,57.7575,74.21,88,40,1.14,MU,Clouds
44,Bonavista,48.6499,-53.1147,38.05,95,100,5.68,CA,Clouds
45,Touros,-5.1989,-35.4608,80.46,79,93,12.24,BR,Clouds
46,Cidreira,-30.1811,-50.2056,64.99,72,100,7.85,BR,Clouds
47,Ballina,-28.8667,153.5667,68.18,90,40,9.22,AU,Clouds
48,Sailana,23.4667,74.9167,80.87,60,5,17.27,IN,Clear
49,Dikson,73.5069,80.5464,6.22,97,99,10.85,RU,Clouds
50,Punta Arenas,-53.15,-70.9167,42.91,81,0,9.22,CL,Clear
51,Kovdor,67.5662,30.4758,26.98,85,75,5.19,RU,Clouds
52,Fenoarivo,-18.933,47.4354,64.47,100,75,3.44,MG,Clouds
53,Iqaluit,63.7506,-68.5145,28.13,79,75,5.75,CA,Clouds
54,Riyadh,24.6877,46.7219,82.54,16,49,7.52,SA,Clouds
55,Sal Rei,16.1833,-22.9167,70.63,81,0,15.66,CV,Clear
56,Muros,42.7762,-9.0603,51.98,86,15,5.59,ES,Clouds
57,Ostrovnoy,68.0531,39.5131,15.22,92,57,8.46,RU,Clouds
58,Victoria,22.2855,114.1577,64.26,93,100,5.01,HK,Rain
59,Turmalina,-17.2856,-42.73,69.17,68,55,5.01,BR,Clouds
60,Upernavik,72.7868,-56.1549,3.58,86,59,2.95,GL,Clouds
61,Kudahuvadhoo,2.6708,72.8944,85.71,73,95,21.32,MV,Clouds
62,Cape Town,-33.9258,18.4232,60.12,83,0,3.44,ZA,Clear
63,Jiblah,13.9216,44.1467,65.95,63,91,2.37,YE,Clouds
64,Wattegama,6.7989,81.4808,74.52,90,96,2.71,LK,Clouds
65,Camacha,33.0833,-16.3333,60.22,82,40,13.8,PT,Clouds
66,Birjand,32.8663,59.2211,55.87,67,0,6.91,IR,Clear
67,Sao Filipe,14.8961,-24.4956,72.41,76,0,7.18,CV,Clear
68,Aksu,41.1231,80.2644,59.72,23,84,6.49,CN,Clouds
69,Mar Del Plata,-38.0023,-57.5575,52.88,78,100,11.99,AR,Clouds
70,Carutapera,-1.195,-46.02,76.3,92,100,4.74,BR,Rain
71,Quibdo,5.6947,-76.6611,84.54,79,40,3.44,CO,Clouds
72,Parkent,41.2944,69.6764,66.02,39,53,5.79,UZ,Clouds
73,Nizhniy Baskunchak,48.2198,46.8311,48.13,51,49,11.92,RU,Clouds
74,Qostanay,53.1667,63.5833,39.49,93,0,8.95,KZ,Clear
75,Henties Bay,-22.116,14.2845,62.55,69,0,0.36,NA,Clear
76,Qiryat Shemona,33.2073,35.5721,58.39,91,11,2.1,IL,Clouds
77,Malakal,9.5334,31.6605,87.15,34,90,5.61,SS,Clouds
78,Dumka,24.2667,87.25,78.26,68,43,6.93,IN,Clouds
79,Gra Liyia,35.0167,25.6833,65.12,65,88,7.0,GR,Clouds
80,Arraial Do Cabo,-22.9661,-42.0278,75.06,88,0,5.75,BR,Clear
81,Tasiilaq,65.6145,-37.6368,28.56,57,89,5.86,GL,Clouds
82,Methoni,36.8197,21.7049,64.22,79,100,8.68,GR,Clouds
83,Port Alfred,-33.5906,26.891,57.18,93,2,1.99,ZA,Clear
84,Meulaboh,4.1363,96.1285,76.5,89,100,4.27,ID,Clouds
85,Kambove,-10.8764,26.5969,58.89,79,65,5.5,CD,Clouds
86,Hatta,24.1167,79.6,88.79,21,52,2.48,IN,Clouds
87,Riachao Das Neves,-11.7461,-44.91,74.46,53,24,2.08,BR,Clouds
88,Sao Joao Da Barra,-21.6403,-41.0511,76.69,81,4,13.4,BR,Clear
89,Barceloneta,18.4505,-66.5385,76.95,98,100,8.03,PR,Clouds
90,Jaisalmer,26.9147,70.9181,85.15,40,75,20.4,IN,Clouds
91,Katsina,12.9894,7.6006,88.38,16,20,6.62,NG,Clouds
92,Araouane,18.9048,-3.5265,80.96,14,0,10.54,ML,Clear
93,Najran,17.4924,44.1277,77.65,30,2,2.08,SA,Clear
94,Havoysund,70.9963,24.6622,28.63,78,91,22.88,NO,Clouds
95,Ilhabela,-23.7781,-45.3581,73.65,85,14,2.71,BR,Clouds
96,Bathsheba,13.2167,-59.5167,81.21,78,40,14.97,BB,Clouds
97,Serik,36.9169,31.0989,66.74,60,3,5.01,TR,Rain
98,Gat,31.61,34.7642,65.08,100,0,4.72,IL,Clear
99,Richards Bay,-28.783,32.0377,61.75,79,0,6.69,ZA,Clear
100,Kalat,29.0225,66.5916,62.08,27,29,3.15,PK,Clouds
101,Nalut,30.3333,10.85,57.38,60,0,8.39,LY,Clear
102,Kontagora,10.3999,5.4695,80.91,60,79,6.35,NG,Clouds
103,Ponta Do Sol,32.6667,-17.1,66.0,71,0,4.81,PT,Clear
104,Mahon,39.8885,4.2658,57.76,88,0,3.44,ES,Clear
105,Saldanha,-33.0117,17.9442,57.25,82,0,7.63,ZA,Clear
106,Ajdabiya,30.7554,20.2263,67.24,73,28,15.59,LY,Clouds
107,Namibe,-15.1961,12.1522,74.57,66,40,7.63,AO,Clouds
